duplicate_group,id,filename,relative_path,reference_id,hash_distance,duplicate_role
DG-001,113,IMG_7996.JPG,KKN RA AL KAUTSAR/IMG_7996.JPG,SELF,0,MASTER_CANDIDATE
DG-001,115,IMG_7998.JPG,KKN RA AL KAUTSAR/IMG_7998.JPG,113,4,SIMILAR_CANDIDATE
DG-002,116,IMG_7999.JPG,KKN RA AL KAUTSAR/IMG_7999.JPG,118,4,SIMILAR_CANDIDATE
DG-002,118,IMG_8001.JPG,KKN RA AL KAUTSAR/IMG_8001.JPG,SELF,0,MASTER_CANDIDATE
DG-003,119,IMG_8002.JPG,KKN RA AL KAUTSAR/IMG_8002.JPG,SELF,0,MASTER_CANDIDATE
DG-003,120,IMG_8003.JPG,KKN RA AL KAUTSAR/IMG_8003.JPG,119,4,SIMILAR_CANDIDATE
DG-003,122,IMG_8005.JPG,KKN RA AL KAUTSAR/IMG_8005.JPG,119,4,SIMILAR_CANDIDATE
DG-004,128,IMG_8012.JPG,KKN RA AL KAUTSAR/IMG_8012.JPG,SELF,0,MASTER_CANDIDATE
DG-004,129,IMG_8013.JPG,KKN RA AL KAUTSAR/IMG_8013.JPG,128,4,SIMILAR_CANDIDATE
DG-005,134,IMG_8018.JPG,KKN RA AL KAUTSAR/IMG_8018.JPG,SELF,0,MASTER_CANDIDATE
DG-005,135,IMG_8019.JPG,KKN RA AL KAUTSAR/IMG_8019.JPG,134,4,SIMILAR_CANDIDATE
DG-006,151,IMG_8035.JPG,KKN RA AL KAUTSAR/IMG_8035.JPG,SELF,0,MASTER_CANDIDATE
DG-006,152,IMG_8036.JPG,KKN RA AL KAUTSAR/IMG_8036.JPG,151,2,SIMILAR_CANDIDATE
DG-007,200,IMG_8620.JPG,KOLASE KERTAS WARNA SD 010/IMG_8620.JPG,201,4,SIMILAR_CANDIDATE
DG-007,201,IMG_8621.JPG,KOLASE KERTAS WARNA SD 010/IMG_8621.JPG,SELF,0,MASTER_CANDIDATE
DG-008,269,IMG_8701.JPG,KOLASE KERTAS WARNA SD 010/IMG_8701.JPG,SELF,0,MASTER_CANDIDATE
DG-008,270,IMG_8702.JPG,KOLASE KERTAS WARNA SD 010/IMG_8702.JPG,269,2,SIMILAR_CANDIDATE
DG-009,470,IMG_7602(1).JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7602(1).JPG,471,0,SIMILAR_CANDIDATE
DG-009,471,IMG_7602.JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7602.JPG,SELF,0,MASTER_CANDIDATE
DG-010,479,IMG_7613(1).JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7613(1).JPG,SELF,0,MASTER_CANDIDATE
DG-010,480,IMG_7613.JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7613.JPG,479,0,SIMILAR_CANDIDATE
DG-011,512,IMG_7656(1).JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7656(1).JPG,SELF,0,MASTER_CANDIDATE
DG-011,513,IMG_7656.JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7656.JPG,512,0,SIMILAR_CANDIDATE
DG-012,530,IMG_7680(1).JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7680(1).JPG,SELF,0,MASTER_CANDIDATE
DG-012,531,IMG_7680.JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7680.JPG,530,0,SIMILAR_CANDIDATE
DG-013,533,IMG_7683(1).JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7683(1).JPG,SELF,0,MASTER_CANDIDATE
DG-013,534,IMG_7683.JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7683.JPG,533,0,SIMILAR_CANDIDATE
DG-013,535,IMG_7684(1).JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7684(1).JPG,533,2,SIMILAR_CANDIDATE
DG-013,536,IMG_7684.JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7684.JPG,533,2,SIMILAR_CANDIDATE
DG-014,539,IMG_7691(1).JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7691(1).JPG,540,0,SIMILAR_CANDIDATE
DG-014,540,IMG_7691.JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7691.JPG,SELF,0,MASTER_CANDIDATE
DG-015,582,IMG_7764(1).JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7764(1).JPG,583,0,SIMILAR_CANDIDATE
DG-015,583,IMG_7764.JPG,SMPN 02 AIR PUTIH LBJ/KKN SMPN/IMG_7764.JPG,SELF,0,MASTER_CANDIDATE
